  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  13.500   1.1330   0.04460   0.03817   0.0345   0.0251   1.0000
  13.750   1.1340   0.04712   0.04077   0.0343   0.0247   1.0000
  14.000   1.1336   0.04995   0.04369   0.0339   0.0244   1.0000
  14.250   1.1288   0.05355   0.04748   0.0328   0.0240   1.0000
  14.500   1.1209   0.05783   0.05199   0.0311   0.0237   1.0000
  14.750   1.1107   0.06264   0.05702   0.0288   0.0235   1.0000
  15.000   1.0981   0.06808   0.06268   0.0259   0.0232   1.0000
  15.250   1.0824   0.07424   0.06904   0.0225   0.0231   1.0000
  15.500   1.0636   0.08123   0.07625   0.0183   0.0230   1.0000
  15.750   1.0402   0.08939   0.08461   0.0134   0.0229   1.0000
  16.000   1.0107   0.09929   0.09473   0.0073   0.0230   1.0000
  16.250   0.9672   0.11285   0.10853  -0.0010   0.0231   1.0000
